date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:46:10	313456/313456	---M--	200	added ('OK')	image/jpeg	etag:%221275017613%22	http://colgis-bd.com/image/pahelaBoishakh.jpg	C:/My%20Web%20Sites/companyTemplate/colgis-bd.com/image/pahelaBoishakh.jpg	(from http://colgis-bd.com/aboutBangladesh.html)
22:46:29	109371/109371	---M--	200	added ('OK')	image/jpeg	etag:%223833413316%22	http://colgis-bd.com/image/victoryDay.jpg	C:/My%20Web%20Sites/companyTemplate/colgis-bd.com/image/victoryDay.jpg	(from http://colgis-bd.com/aboutBangladesh.html)
22:46:39	56004/56004	---M--	200	added ('OK')	image/jpeg	etag:%223458299171%22	http://colgis-bd.com/image/EidUlFitr.jpg	C:/My%20Web%20Sites/companyTemplate/colgis-bd.com/image/EidUlFitr.jpg	(from http://colgis-bd.com/aboutBangladesh.html)
22:46:49	1147871/1147871	---M--	200	added ('OK')	image/jpeg	etag:%224226063425%22	http://colgis-bd.com/image/ratargul.jpg	C:/My%20Web%20Sites/companyTemplate/colgis-bd.com/image/ratargul.jpg	(from http://colgis-bd.com/aboutBangladesh.html)
22:46:56	426536/426536	---M--	200	added ('OK')	image/jpeg	etag:%222952274152%22	http://colgis-bd.com/image/NobannoUtshob.jpg	C:/My%20Web%20Sites/companyTemplate/colgis-bd.com/image/NobannoUtshob.jpg	(from http://colgis-bd.com/aboutBangladesh.html)
22:46:57	103165/103165	---M--	200	added ('OK')	image/jpeg	etag:%221451069536%22	http://colgis-bd.com/image/EidUlAdha.jpg	C:/My%20Web%20Sites/companyTemplate/colgis-bd.com/image/EidUlAdha.jpg	(from http://colgis-bd.com/aboutBangladesh.html)
22:47:01	74851/74851	---M--	200	added ('OK')	image/jpeg	etag:%222426496016%22	http://colgis-bd.com/image/DurgaPuja.jpg	C:/My%20Web%20Sites/companyTemplate/colgis-bd.com/image/DurgaPuja.jpg	(from http://colgis-bd.com/aboutBangladesh.html)
22:47:08	61189/61189	---M--	200	added ('OK')	image/jpeg	etag:%221279356289%22	http://colgis-bd.com/image/BuddhaPurnima.jpg	C:/My%20Web%20Sites/companyTemplate/colgis-bd.com/image/BuddhaPurnima.jpg	(from http://colgis-bd.com/aboutBangladesh.html)
22:47:08	76917/76917	---M--	200	added ('OK')	image/jpeg	etag:%223617704148%22	http://colgis-bd.com/image/roth.jpg	C:/My%20Web%20Sites/companyTemplate/colgis-bd.com/image/roth.jpg	(from http://colgis-bd.com/aboutBangladesh.html)
22:47:21	65737/65737	---M--	200	added ('OK')	image/jpeg	etag:%224156671432%22	http://colgis-bd.com/image/kabab.jpg	C:/My%20Web%20Sites/companyTemplate/colgis-bd.com/image/kabab.jpg	(from http://colgis-bd.com/aboutBangladesh.html)
22:47:23	8633/8633	---M--	200	added ('OK')	image/jpeg	etag:%223469155565%22	http://colgis-bd.com/image/firni.jpg	C:/My%20Web%20Sites/companyTemplate/colgis-bd.com/image/firni.jpg	(from http://colgis-bd.com/aboutBangladesh.html)
22:47:41	96002/96002	---M--	200	added ('OK')	image/jpeg	etag:%223311516932%22	http://colgis-bd.com/image/fuchka.jpg	C:/My%20Web%20Sites/companyTemplate/colgis-bd.com/image/fuchka.jpg	(from http://colgis-bd.com/aboutBangladesh.html)
22:47:44	226181/226181	---M--	200	added ('OK')	image/png	etag:%223027869924%22	http://colgis-bd.com/image/kacchi.png	C:/My%20Web%20Sites/companyTemplate/colgis-bd.com/image/kacchi.png	(from http://colgis-bd.com/aboutBangladesh.html)
22:47:46	287620/287620	---M--	200	added ('OK')	image/jpeg	etag:%223170816237%22	http://colgis-bd.com/image/Christmas3.jpg	C:/My%20Web%20Sites/companyTemplate/colgis-bd.com/image/Christmas3.jpg	(from http://colgis-bd.com/aboutBangladesh.html)
22:47:48	7514/7514	---M--	200	added ('OK')	image/jpeg	etag:%223980532516%22	http://colgis-bd.com/image/doi.jpg	C:/My%20Web%20Sites/companyTemplate/colgis-bd.com/image/doi.jpg	(from http://colgis-bd.com/aboutBangladesh.html)
22:47:54	62229/62229	---M--	200	added ('OK')	image/jpeg	etag:%223894526980%22	http://colgis-bd.com/image/bakorkhani.jpg	C:/My%20Web%20Sites/companyTemplate/colgis-bd.com/image/bakorkhani.jpg	(from http://colgis-bd.com/aboutBangladesh.html)
22:47:55	88741/88741	---M--	200	added ('OK')	image/jpeg	etag:%223114382988%22	http://colgis-bd.com/image/pitha.jpg	C:/My%20Web%20Sites/companyTemplate/colgis-bd.com/image/pitha.jpg	(from http://colgis-bd.com/aboutBangladesh.html)
22:48:17	123967/123967	---M--	200	added ('OK')	image/jpeg	etag:%224152178044%22	http://colgis-bd.com/image/chomchom.jpg	C:/My%20Web%20Sites/companyTemplate/colgis-bd.com/image/chomchom.jpg	(from http://colgis-bd.com/aboutBangladesh.html)
22:48:27	54448/54448	---M--	200	added ('OK')	image/jpeg	etag:%223164717198%22	http://colgis-bd.com/image/Borhani.jpg	C:/My%20Web%20Sites/companyTemplate/colgis-bd.com/image/Borhani.jpg	(from http://colgis-bd.com/aboutBangladesh.html)
22:48:35	247360/247360	---M--	200	added ('OK')	image/jpeg	etag:%221828586598%22	http://colgis-bd.com/image/roshmalai.jpg	C:/My%20Web%20Sites/companyTemplate/colgis-bd.com/image/roshmalai.jpg	(from http://colgis-bd.com/aboutBangladesh.html)
22:48:41	335500/335500	---M--	200	added ('OK')	image/jpeg	etag:%22486489327%22	http://colgis-bd.com/image/balushai.jpg	C:/My%20Web%20Sites/companyTemplate/colgis-bd.com/image/balushai.jpg	(from http://colgis-bd.com/aboutBangladesh.html)
22:49:01	118357/118357	---M--	200	added ('OK')	image/jpeg	etag:%221467849508%22	http://colgis-bd.com/image/coxsBazar.jpg	C:/My%20Web%20Sites/companyTemplate/colgis-bd.com/image/coxsBazar.jpg	(from http://colgis-bd.com/aboutBangladesh.html)
